A̱o,Esperanza de vida-Mujeres,Esperanza de vida-Hombres,Esperanza de vida
2022,75.81,66.84,71.48
2021,75.15,66.08,70.75
2020,75.41,66.43,71.06
2019,76.78,68.01,72.56
2018,77.49,67.35,72.56
2017,77.49,66.91,72.31
2016,77.08,66.76,72.03
2015,76.57,66.83,71.81
2014,76.27,66.99,71.75
2013,76.16,67.15,71.77
2012,76.16,67.26,71.83
2011,76.19,67.29,71.86
2010,76.21,67.25,71.85
2009,75.96,66.96,71.58
2008,75.92,66.71,71.42
2007,75.68,66.33,71.11
2006,75.40,65.97,70.77
2005,75.08,65.64,70.44
2004,74.97,65.57,70.34
2003,74.68,65.47,70.14
2002,74.71,65.63,70.23
2001,73.90,65.16,69.60
2000,74.25,65.35,69.87
1999,73.80,64.83,69.38
1998,72.93,63.92,68.48
1997,72.56,63.15,67.90
1996,71.89,62.21,67.08
1995,71.28,61.36,66.33
1994,70.89,60.79,65.84
1993,70.31,60.18,65.24
1992,69.71,59.63,64.66
1991,69.07,58.73,63.86
1990,68.31,57.02,62.55
1989,67.27,52.86,59.69
1988,66.70,56.44,61.48
1987,65.73,54.01,59.67
1986,64.18,51.85,57.74
1985,63.85,50.88,57.03
1984,62.89,47.95,54.85
1983,61.92,44.43,52.20
1982,60.23,43.79,51.11
1981,60.28,39.58,48.16
1980,56.77,41.16,47.98
1979,59.66,46.06,52.20
1978,59.51,47.91,53.25
1977,59.14,49.52,54.02
1976,58.74,50.89,54.63
1975,58.25,51.74,54.88
1974,57.60,51.92,54.67
1973,56.80,51.47,54.05
1972,55.89,50.35,53.02
1971,55.03,49.66,52.24
1970,54.28,48.77,51.41
1969,53.78,48.25,50.90
1968,53.56,48.19,50.78
1967,53.47,48.40,50.85
1966,53.38,48.68,50.96
1965,53.11,48.78,50.90
1964,52.83,48.71,50.73
1963,52.29,48.27,50.25
1962,51.64,47.62,49.60
1961,50.90,46.87,48.85
1960,50.14,46.11,48.08
