"indicator","País__ESTANDAR","Años","valor","unit","notes_ids","source_id"
"Variación de temperatura media","América Central","1961","-0.14","Grados celsius","","651"
"Variación de temperatura media","América Central","1962","0.08","Grados celsius","","651"
"Variación de temperatura media","América Central","1963","0.14","Grados celsius","","651"
"Variación de temperatura media","América Central","1964","-0.26","Grados celsius","","651"
"Variación de temperatura media","América Central","1965","-0.07","Grados celsius","","651"
"Variación de temperatura media","América Central","1966","-0.19","Grados celsius","","651"
"Variación de temperatura media","América Central","1967","-0.15","Grados celsius","","651"
"Variación de temperatura media","América Central","1968","-0.40","Grados celsius","","651"
"Variación de temperatura media","América Central","1969","0.19","Grados celsius","","651"
"Variación de temperatura media","América Central","1970","-0.26","Grados celsius","","651"
"Variación de temperatura media","América Central","1971","-0.09","Grados celsius","","651"
"Variación de temperatura media","América Central","1972","0.31","Grados celsius","","651"
"Variación de temperatura media","América Central","1973","-0.03","Grados celsius","","651"
"Variación de temperatura media","América Central","1974","-0.11","Grados celsius","","651"
"Variación de temperatura media","América Central","1975","-0.25","Grados celsius","","651"
"Variación de temperatura media","América Central","1976","-0.40","Grados celsius","","651"
"Variación de temperatura media","América Central","1977","0.09","Grados celsius","","651"
"Variación de temperatura media","América Central","1978","0.20","Grados celsius","","651"
"Variación de temperatura media","América Central","1979","0.04","Grados celsius","","651"
"Variación de temperatura media","América Central","1980","0.42","Grados celsius","","651"
"Variación de temperatura media","América Central","1981","0.17","Grados celsius","","651"
"Variación de temperatura media","América Central","1982","0.57","Grados celsius","","651"
"Variación de temperatura media","América Central","1983","0.18","Grados celsius","","651"
"Variación de temperatura media","América Central","1984","-0.06","Grados celsius","","651"
"Variación de temperatura media","América Central","1985","0.09","Grados celsius","","651"
"Variación de temperatura media","América Central","1986","0.25","Grados celsius","","651"
"Variación de temperatura media","América Central","1987","-0.01","Grados celsius","","651"
"Variación de temperatura media","América Central","1988","0.21","Grados celsius","","651"
"Variación de temperatura media","América Central","1989","0.40","Grados celsius","","651"
"Variación de temperatura media","América Central","1990","0.27","Grados celsius","","651"
"Variación de temperatura media","América Central","1991","0.31","Grados celsius","","651"
"Variación de temperatura media","América Central","1992","0.15","Grados celsius","","651"
"Variación de temperatura media","América Central","1993","0.31","Grados celsius","","651"
"Variación de temperatura media","América Central","1994","0.67","Grados celsius","","651"
"Variación de temperatura media","América Central","1995","0.77","Grados celsius","","651"
"Variación de temperatura media","América Central","1996","0.43","Grados celsius","","651"
"Variación de temperatura media","América Central","1997","0.51","Grados celsius","","651"
"Variación de temperatura media","América Central","1998","0.75","Grados celsius","","651"
"Variación de temperatura media","América Central","1999","0.51","Grados celsius","","651"
"Variación de temperatura media","América Central","2000","0.48","Grados celsius","","651"
"Variación de temperatura media","América Central","2001","0.49","Grados celsius","","651"
"Variación de temperatura media","América Central","2002","0.70","Grados celsius","","651"
"Variación de temperatura media","América Central","2003","0.84","Grados celsius","","651"
"Variación de temperatura media","América Central","2004","0.40","Grados celsius","","651"
"Variación de temperatura media","América Central","2005","0.77","Grados celsius","","651"
"Variación de temperatura media","América Central","2006","0.85","Grados celsius","","651"
"Variación de temperatura media","América Central","2007","0.52","Grados celsius","","651"
"Variación de temperatura media","América Central","2008","0.49","Grados celsius","","651"
"Variación de temperatura media","América Central","2009","0.97","Grados celsius","","651"
"Variación de temperatura media","América Central","2010","0.36","Grados celsius","","651"
"Variación de temperatura media","América Central","2011","0.87","Grados celsius","","651"
"Variación de temperatura media","América Central","2012","0.82","Grados celsius","","651"
"Variación de temperatura media","América Central","2013","0.73","Grados celsius","","651"
"Variación de temperatura media","América Central","2014","0.80","Grados celsius","","651"
"Variación de temperatura media","América Central","2015","1.06","Grados celsius","","651"
"Variación de temperatura media","América Central","2016","1.27","Grados celsius","","651"
"Variación de temperatura media","América Central","2017","1.42","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1961","0.12","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1962","-0.14","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1963","0.15","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1964","-0.21","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1965","-0.01","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1966","-0.00","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1967","-0.01","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1968","-0.17","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1969","0.34","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1970","0.17","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1971","-0.28","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1972","0.08","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1973","0.23","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1974","-0.22","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1975","-0.16","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1976","-0.23","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1977","0.29","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1978","0.14","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1979","0.12","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1980","0.33","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1981","0.22","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1982","0.28","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1983","0.46","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1984","0.14","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1985","0.13","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1986","0.27","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1987","0.64","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1988","0.29","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1989","0.18","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1990","0.38","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1991","0.42","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1992","0.29","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1993","0.39","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1994","0.53","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1995","0.63","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1996","0.41","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1997","0.74","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1998","1.00","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1999","0.36","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2000","0.29","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2001","0.61","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2002","0.81","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2003","0.81","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2004","0.70","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2005","0.86","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2006","0.74","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2007","0.61","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2008","0.61","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2009","0.86","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2010","0.85","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2011","0.69","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2012","0.91","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2013","0.77","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2014","1.04","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2015","1.36","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2016","1.20","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2017","1.20","Grados celsius","","651"
"Variación de temperatura media","El Caribe","1961","-0.04","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1962","-0.06","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1963","-0.05","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1964","0.13","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1965","-0.12","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1966","-0.13","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1967","-0.24","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1968","-0.31","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1969","0.12","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1970","-0.20","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1971","-0.07","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1972","0.23","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1973","0.35","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1974","-0.12","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1975","0.29","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1976","-0.27","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1977","0.20","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1978","0.08","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1979","0.30","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1980","0.56","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1981","0.25","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1982","0.50","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1983","0.44","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1984","0.25","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1985","0.15","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1986","0.27","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1987","0.74","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1988","0.62","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1989","0.48","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1990","0.73","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1991","0.76","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1992","0.45","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1993","0.45","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1994","0.82","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1995","0.88","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1996","0.49","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1997","0.88","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1998","1.14","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","1999","0.78","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2000","0.48","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2001","0.51","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2002","0.84","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2003","1.02","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2004","0.71","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2005","0.77","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2006","0.85","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2007","0.92","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2008","0.56","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2009","0.79","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2010","0.90","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2011","0.67","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2012","0.75","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2013","1.01","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2014","1.16","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2015","1.36","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2016","1.33","Grados celsius","8576","651"
"Variación de temperatura media","El Caribe","2017","1.30","Grados celsius","8576","651"
"Variación de temperatura media","América Central","2018","1.09","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2018","0.98","Grados celsius","","651"
"Variación de temperatura media","El Caribe","2018","1.16","Grados celsius","8576","651"
"Variación de temperatura media","América Central","2019","1.27","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2019","1.25","Grados celsius","","651"
"Variación de temperatura media","El Caribe","2019","1.53","Grados celsius","8576","651"
"Variación de temperatura media","América Central","2020","1.62","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2020","1.32","Grados celsius","","651"
"Variación de temperatura media","El Caribe","2020","1.67","Grados celsius","8576","651"
"Variación de temperatura media","América Central","2021","1.09","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2021","1.00","Grados celsius","","651"
"Variación de temperatura media","El Caribe","2021","1.08","Grados celsius","8576","651"
"Variación de temperatura media","América Central","2022","1.09","Grados celsius","",""
"Variación de temperatura media","América del Sur","2022","0.80","Grados celsius","",""
"Variación de temperatura media","El Caribe","2022","1.15","Grados celsius","",""
